match_id,blue_win,blue_top_champion_name,blue_jungle_champion_name,blue_mid_champion_name,blue_adc_champion_name,blue_support_champion_name,red_top_champion_name,red_jungle_champion_name,red_mid_champion_name,red_adc_champion_name,red_support_champion_name,blue_avg_rank,red_avg_rank,blue_avg_recent_wr,red_avg_recent_wr,blue_avg_mastery,red_avg_mastery,top_matchup_wr,jungle_matchup_wr,mid_matchup_wr,adc_matchup_wr,support_matchup_wr,avg_matchup_wr,rank_diff,recent_wr_diff,mastery_diff
EUN1_3931240467,0,Irelia,MasterYi,Sylas,MissFortune,Thresh,Vayne,Warwick,AurelionSol,Tristana,Zoe,0.0,0.0,0.6,0.54,163150.8,257640.4,0.0,0.5,0.5,0.36363636363636365,0.0,0.27272727272727276,0.0,0.05999999999999994,-94489.6
EUN1_3916356807,1,Sett,Graves,Naafiri,MissFortune,Lux,Ambessa,Briar,Diana,Caitlyn,Neeko,0.0,0.0,0.5,0.4,128356.2,71607.8,1.0,0.3333333333333333,0.5,0.6216216216216216,0.6666666666666666,0.6243243243243243,0.0,0.09999999999999998,56748.399999999994
EUN1_3925664498,1,Mordekaiser,Kayn,Diana,Jinx,Seraphine,Kayle,Belveth,Vex,TwistedFate,Soraka,0.0,0.0,0.3,0.46,344975.0,34627.6,0.42857142857142855,1.0,0.6666666666666666,1.0,0.5,0.719047619047619,0.0,-0.16000000000000003,310347.4
EUN1_3916454494,1,Chogath,Jax,Mel,MissFortune,Lux,Teemo,Nunu,Aurora,Kaisa,Pantheon,0.0,0.0,0.42,0.28,97975.6,328366.2,0.3333333333333333,0.3333333333333333,1.0,0.625,0.4,0.5383333333333333,0.0,0.13999999999999996,-230390.6
EUN1_3929115323,0,Garen,Amumu,Akali,MissFortune,Lux,Jax,Malphite,Naafiri,Caitlyn,Morgana,0.0,0.0,0.62,0.48,106785.2,25081.6,0.3333333333333333,0.5,0.3333333333333333,0.6216216216216216,0.5263157894736842,0.4629208155523944,0.0,0.14,81703.6
EUN1_3931177412,0,Mordekaiser,Briar,Yone,Ziggs,Leona,Darius,MonkeyKing,Mel,Lucian,Senna,0.0,0.0,0.58,0.58,333107.6,40550.4,0.0,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,0.0,0.0,292557.19999999995
EUN1_3931949825,0,DrMundo,Kayn,Ahri,Ashe,Lux,Yasuo,Viego,Hwei,Vayne,Braum,0.0,0.0,0.68,0.5,350466.4,169022.6,0.3333333333333333,0.625,0.0,0.5,0.0,0.29166666666666663,0.0,0.18000000000000005,181443.80000000002
EUN1_3922848673,0,Kayle,Graves,Qiyana,Akali,TahmKench,Yorick,Nocturne,Yasuo,Kaisa,Thresh,0.0,0.0,0.6,0.48,29037.0,275510.4,0.0,0.5,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.12,-246473.40000000002
EUN1_3930690689,1,KSante,Jax,Vex,Caitlyn,Yuumi,Chogath,Evelynn,Vladimir,Ezreal,Taric,0.0,0.0,0.58,0.38,91841.0,16513.8,1.0,1.0,1.0,0.875,1.0,0.975,0.0,0.19999999999999996,75327.2
EUN1_3929608234,1,Yasuo,Sylas,Xerath,Jhin,Braum,Nautilus,Belveth,Akali,Ashe,Brand,0.0,0.0,0.56,0.64,84972.2,33781.2,1.0,1.0,0.4,0.6,1.0,0.8,0.0,-0.07999999999999996,51191.0
EUN1_3927309903,0,Teemo,FiddleSticks,Jinx,Yunara,Nautilus,Gwen,Shyvana,Talon,Twitch,Rakan,0.0,0.0,0.64,0.4,412924.6,168038.4,0.0,0.25,0.0,0.5,0.0,0.15,0.0,0.24,244886.19999999998
EUN1_3931469983,0,Chogath,Zed,Mel,Jhin,Nami,Darius,Garen,Sylas,Samira,Zyra,0.0,0.0,0.36,0.36,65697.8,127067.4,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,-61369.59999999999
EUN1_3931102053,0,Jax,Khazix,Mel,MissFortune,Nami,Renekton,Viego,Irelia,Varus,Swain,0.0,0.0,0.38,0.52,67192.0,62285.0,0.0,0.3333333333333333,0.0,0.5555555555555556,0.0,0.17777777777777776,0.0,-0.14,4907.0
EUN1_3927761318,1,Shyvana,Warwick,Mel,Kalista,Leona,Yone,Viego,Yasuo,Tristana,Morgana,0.0,0.0,0.44,0.34,202310.6,67768.8,1.0,0.6666666666666666,0.6,1.0,0.3333333333333333,0.72,0.0,0.09999999999999998,134541.8
EUN1_3916372433,0,Yasuo,Kayn,Teemo,Jhin,Mel,Chogath,Fizz,Irelia,Vayne,Neeko,0.0,0.0,0.42,0.3,225579.8,33499.2,0.5,0.0,0.0,0.8571428571428571,0.5,0.37142857142857144,0.0,0.12,192080.59999999998
EUN1_3931792530,1,Sett,Briar,Katarina,Kaisa,Mel,Mordekaiser,MasterYi,Ahri,Samira,Seraphine,0.0,0.0,0.34,0.44,105178.0,50418.8,1.0,0.5,0.6666666666666666,1.0,0.625,0.7583333333333333,0.0,-0.09999999999999998,54759.2
EUN1_3932181502,1,Yorick,Kindred,Zoe,Ezreal,Lux,MasterYi,Volibear,Akshan,Kaisa,Nami,0.0,0.0,0.56,0.44,20593.6,838781.0,1.0,1.0,0.5,1.0,0.75,0.85,0.0,0.12000000000000005,-818187.4
